,Sum,Avg,Min,Max,Count
count,58.0,45.0,45.0,45.0,58.0
mean,2.7927880845238016,0.3756637478276793,-0.29360709626740955,1.6436373736639942,7.827586206896552
std,4.0671891719088,0.5139264485219088,0.5122775689561104,1.4000494315788257,10.511710981357691
min,-5.182042971448453,-0.8000000000000002,-0.8,-0.8,0.0
25%,0.0,0.23282526040568977,-0.8,0.49412023684435424,1.0
50%,1.4404509232645364,0.3816502444367011,-0.3967270588421941,1.6908514398511336,3.0
75%,4.987008259645595,0.6413711781858705,0.25,2.717305988811966,10.5
max,13.43883545564006,1.41447517366959,0.25,4.071073730794297,42.0
count,58.0,44.0,44.0,44.0,58.0
mean,2.899419936867044,0.3115753241379043,-0.3599722906378608,1.629301543199391,8.241379310344827
std,4.26214481732232,0.437339382640032,0.4837818881529412,1.4115921927485138,11.397614931831189
min,-2.25,-0.75,-0.75,-0.75,0.0
25%,0.0,0.24493493849543418,-0.75,0.34375,1.0
50%,1.047491291584684,0.3259058381621096,-0.75,1.5229255534070159,3.0
75%,4.986529846204608,0.5118290592686052,0.25,2.739202509060635,11.0
max,14.087676911687245,1.2962366041461713,0.25,4.485555761678982,43.0
count,58.0,45.0,45.0,45.0,58.0
mean,2.8131645015843008,0.3001493867319558,-0.4015301279899451,1.5775036114448373,8.758620689655173
std,4.121315469549623,0.40219171134700366,0.4249340421810657,1.2589967044192418,11.654846661183697
min,-1.418186739632798,-0.7,-0.7,-0.7,0.0
25%,0.0,0.07419840297177993,-0.7,0.25,1.0
50%,0.7000966137259341,0.29669114127525903,-0.7,1.4286635746225544,3.5
75%,4.713817700234027,0.4906158030606311,0.25,2.56960611659706,13.0
max,17.100123356680932,1.2890727450630342,0.25,3.885203114321442,45.0
count,58.0,46.0,46.0,46.0,58.0
mean,2.6512225479657214,0.22719361241067232,-0.3932979378135397,1.3035440109992384,9.362068965517242
std,4.067757714301488,0.37527116029580476,0.382560611119924,1.162886499670066,12.4895721779468
min,-2.1149729889119877,-0.65,-0.65,-0.65,0.0
25%,0.0,0.06545684773849594,-0.65,0.25,1.0
50%,0.38629760445766986,0.25,-0.65,1.0601969175037946,3.5
75%,4.187476909498374,0.42162543361287125,-0.058618324963148366,2.073428317495875,13.0
max,16.10787483621614,1.2931674904571298,0.25,3.6293299291076986,47.0
count,58.0,46.0,46.0,46.0,58.0
mean,2.672113281063873,0.21042502511123432,-0.3449642412314241,1.2737280909258637,9.948275862068966
std,4.227975175229422,0.3988199780930186,0.375221381821602,1.201551846671167,13.449610199520887
min,-2.4,-0.6,-0.6,-0.6,0.0
25%,0.0,0.0026726972938027034,-0.6,0.25,1.0
50%,0.381867290070439,0.23785612263289324,-0.6,1.0380564382593502,4.0
75%,4.918722022672636,0.39976009511257954,0.1909336450352195,2.4772875745746434,14.0
max,17.385590386755673,1.3654391195145323,0.25,3.1980523932421456,53.0
count,58.0,47.0,47.0,47.0,58.0
mean,2.600069105777382,0.18310214901435962,-0.40691966337276975,1.1142861473979693,11.137931034482758
std,3.9760844895399305,0.353031997612581,0.2946263912361943,1.0235206696170769,14.811622126905887
min,-2.2,-0.55,-0.55,-0.55,0.0
25%,0.0,0.048279348863347255,-0.55,0.2659445897808375,2.0
50%,0.5402099669482276,0.22061805958235373,-0.55,0.9299724551437305,4.0
75%,4.725755808583546,0.31732501098412647,-0.55,1.885550856613265,14.75
max,15.368917329459197,1.331029479625423,0.25,2.9055616856309783,57.0
count,58.0,47.0,47.0,47.0,58.0
mean,2.526691140309089,0.19467758099980073,-0.3560686693961738,1.087325832603117,11.862068965517242
std,3.931925888038357,0.3430381497875178,0.2894252386243885,0.9345954860565717,15.605271574293125
min,-2.3527463477520847,-0.5,-0.5,-0.5,0.0
25%,0.0,0.052481145099083804,-0.5,0.2820372805947968,2.0
50%,0.5404140439601997,0.21369850541158839,-0.5,0.9239688137147255,5.0
75%,4.437951703787066,0.3494936059223649,-0.5,1.8550680301451117,16.75
max,14.446576502332558,1.3542233855684067,0.25,2.800392452862125,63.0
count,58.0,49.0,49.0,49.0,58.0
mean,2.4601272103755862,0.16410124906479856,-0.32475776695291403,0.956022213860397,13.879310344827585
std,3.679606795104547,0.2682105942629475,0.23611942765668145,0.826476434375118,18.3972514978169
min,-1.7999999999999998,-0.44999999999999996,-0.44999999999999996,-0.44999999999999996,0.0
25%,0.0,0.08163932283802422,-0.44999999999999996,0.3186434363512607,3.0
50%,0.9181874428969283,0.15368672639045694,-0.44999999999999996,0.7723621209835378,4.0
75%,3.202514518146187,0.2842542656586242,-0.44999999999999996,1.6410130100695839,16.75
max,14.328912723658384,1.0539710227744579,0.25,2.717305988811966,68.0
count,58.0,50.0,50.0,50.0,58.0
mean,2.3949789107578345,0.15523644365019573,-0.2641442086054913,0.8689354969708873,15.068965517241379
std,3.7498693301768053,0.2328021600788624,0.23942004098056532,0.6879259562626988,20.264792793938113
min,-1.6,-0.4000000000000001,-0.4,-0.4,0.0
25%,0.0,0.07597295773915858,-0.4,0.25,2.25
50%,1.1550366716936937,0.1665900053415212,-0.4,0.8279341327677746,5.0
75%,2.7850815200125223,0.2488977381406272,-0.1,1.5041121566491156,17.25
max,15.899620273854678,0.7213040295669562,0.25,2.1725781223806306,70.0
count,58.0,51.0,51.0,51.0,58.0
mean,2.2621112765475444,0.13849217291333635,-0.2372325445703477,0.7720468549504393,16.482758620689655
std,3.2563804876193227,0.21513209798949492,0.2136884048621101,0.6149825557126664,21.745127608561962
min,-1.4,-0.35,-0.35,-0.35,0.0
25%,0.021791330334983983,0.062101390971637485,-0.35,0.3100423214348009,3.0
50%,0.9172053986407016,0.15222042841757763,-0.35,0.7634531785809864,5.0
75%,3.181361094754704,0.22198008810819392,-0.35,1.193170053058312,20.75
max,12.906256647374203,0.611896055278967,0.25,1.8515813934137917,78.0
count,58.0,51.0,51.0,51.0,58.0
mean,2.2585145522187307,0.11334438129817825,-0.23414617545731056,0.7195313455448299,18.0
