,Sum,Avg,Min,Max,Count
min,-1.0,-0.25,-0.25,-0.25,0.0
25%,0.012234727089681041,0.0386742125996168,-0.25,0.253400129789107,3.25
50%,0.9649840839066077,0.11063106698695976,-0.25,0.5356710002221431,6.0
75%,3.5332914982990196,0.19102129369070678,-0.25,0.9838946267771511,26.5
max,12.884973714907568,0.5051944443990473,0.25,1.575510663881511,97.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.3740447651921652,0.08977477529416628,-0.192572119029465,0.6025346998134322,19.862068965517242
std,3.5406047938009713,0.18216961329938872,0.1480635075425143,0.5247092453633848,26.717789773503444
min,-1.25,-0.25,-0.25,-0.25,0.0
25%,0.0,0.0365505529867901,-0.25,0.275,3.0
50%,0.859791968745637,0.1031629083427304,-0.25,0.5356710002221431,6.0
75%,3.3077496502495056,0.20925012088563025,-0.25,0.9562882098830623,24.5
max,13.976923613009571,0.5176944443990472,0.275,1.631828293248105,93.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.4186450321576753,0.09395060823903613,-0.2041955077781201,0.6428088374197957,19.32758620689655
std,3.5703461476232405,0.18491213632236322,0.1277623586725261,0.5381551371017972,25.570945636367302
min,-1.25,-0.25,-0.25,-0.25,0.0
25%,0.0,0.026161461375713103,-0.25,0.30000000000000004,3.0
50%,0.9598693889527274,0.09059228462597749,-0.25,0.7146752344546442,6.0
75%,4.029501807406331,0.20453473024510832,-0.25,1.0073566977407378,24.5
max,13.836089454155637,0.5301944443990473,0.30000000000000004,1.6448531294401962,92.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.473312234160291,0.0985263399459378,-0.20504352299259204,0.6498725343792899,18.74137931034483
std,3.632451244108263,0.20536383965455976,0.13806239219589783,0.5572509464033227,25.107181012909493
min,-1.0,-0.25,-0.25,-0.25,0.0
25%,0.0,0.017472996539464703,-0.25,0.32499999999999996,3.0
50%,1.105629471191797,0.09383292657336442,-0.25,0.7146752344546442,6.0
75%,3.5174657407745427,0.20727738749952426,-0.25,1.0129581446509515,20.75
max,14.536089454155634,0.560062724283066,0.32499999999999996,1.6586459210634295,92.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.51521942668511,0.10653045211007228,-0.2041175970666661,0.6535762380829936,18.103448275862068
std,3.5884467695235904,0.20896421307158297,0.14171809217013814,0.5551190074800667,24.36685241619681
min,-0.75,-0.25,-0.25,-0.25,0.0
25%,0.0,0.039172025895577584,-0.25,0.35,3.0
50%,1.2550217558943557,0.09720489769578183,-0.25,0.7146752344546442,6.0
75%,4.2612024790829395,0.2120961151333515,-0.25,1.0129581446509515,20.75
max,14.197232514126846,0.578812724283066,0.35,1.6586459210634295,89.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.547244168896719,0.11092448844654303,-0.21014883385268332,0.6874957815456215,17.586206896551722
std,3.522490977833766,0.21165965320223343,0.1382153545560049,0.5837862830305114,23.581165903321057
min,-1.25,-0.25,-0.25,-0.25,0.0
