,TOKEN,Sum,Average,Min,Max
0,EFT,1.3768435536131527,0.22947392560219212,-0.25,0.96709028604651
1,BCI,25.663753435178258,0.7332500981479502,-0.25,18.352910962395747
2,IQG,0.12976636541027298,0.04325545513675766,-0.25,0.25
3,MATATA,0.6503331209096166,0.1083888534849361,-0.25,0.38857925582404484
4,FTD,-0.25,-0.25,-0.25,-0.25
5,INCOME,-0.25,-0.08333333333333333,-0.25,0.25
6,PRED,0.37138080866258305,0.04642260108282288,-0.25,0.32811896633859916
7,LZP,0.2500458258391808,0.1250229129195904,4.582583918077976e-05,0.25
8,PET,15.10077439669119,0.7550387198345595,-0.499345962920263,16.02929307770029
9,MM,-0.5,-0.25,-0.25,-0.25
10,SUPERPIXEL,-0.1617971464959881,-0.02311387807085544,-0.25,0.25
11,NPTUN,6.037175504600845,0.31774607918951814,-0.25,1.5597259952437432
12,XL,-0.30146082652258066,-0.02318929434789082,-0.25,0.7885678864752661
13,$CMF,1.0950586547036125,0.27376466367590313,-0.25,0.8450586547036125
14,CP,3.7268631851048397,0.4140959094560933,-0.25,1.5
15,MNTTBSC,-0.5,-0.25,-0.25,-0.25
16,SNT,0.25,0.25,0.25,0.25
17,HUH,4.835096793622018,0.5372329770691131,-0.25,2.18112455413208
18,TSY,40.74377527563753,10.185943818909383,0.005083485938403243,40.238691789699125
19,CAKESWAP,1.2129734708735254,0.24259469417470508,-0.25,0.5316134283965819
20,IGO,1.0490436456904328,0.1311304557113041,-0.25,0.39596417556108343
21,APX,-0.25,-0.25,-0.25,-0.25
22,SCP,0.25,0.25,0.25,0.25
23,MEB,0.4605904867072086,0.1535301622357362,0.0,0.25
24,SOE,0.2962721582137743,0.05925443164275486,-0.25,0.2962721582137743
25,MPC,0.25,0.125,0.0,0.25
26,CA,0.016857582354237954,0.004214395588559489,-0.25,0.25
27,HKSM,0.93550391910949,0.18710078382189801,-0.25,0.6471076517645373
28,MNFT,3.8031333286450604,0.9507833321612651,-0.25,4.05313332864506
29,SHG,0.26401513925154363,0.08800504641718121,-0.25,0.26401513925154363
30,G9,1.665378734468188,0.13878156120568233,-0.25,0.8880746919924654
31,MGOD,-1.0,-0.25,-0.25,-0.25
32,FLPD,1.412550380647759,0.2354250634412932,-0.25,0.9894960736873648
33,RMOG,-0.25,-0.25,-0.25,-0.25
34,MOR,0.010615603179692124,0.001769267196615354,-0.25,0.25
35,DOGEALLY,8.744757159423227,0.5465473224639517,-0.25,3.5229018387971465
36,SHIBOSHI,1.5736596390425786,0.2248085198632255,-0.25,0.8270885348951671
37,CHIKUINU,4.884178725880865,0.2123555967774289,-0.25,2.1253358094276855
38,GTR,0.25,0.25,0.25,0.25
39,HP,-0.75,-0.1875,-0.25,0.0
40,DPK,6.501356405517241,0.27088985022988504,-0.25,4.485555761678982
41,DRUN,-0.25,-0.25,-0.25,-0.25
42,MRFLOKI,0.2696196169318683,0.08987320564395611,-0.25,0.2696196169318683
43,WIZZY,0.3685461484500515,0.04606826855625644,-0.25,0.5359321833394639
44,XXP,0.9138781357516503,0.05077100754175835,-0.25,0.621642256300732
45,MTK,-0.25,-0.25,-0.25,-0.25
46,SQC,5.41387844994063,0.7734112071343757,-0.25,4.346724270164624
47,APEBUSD,-0.25,-0.25,-0.25,-0.25
48,BREWLABS,-0.25,-0.25,-0.25,-0.25
49,GLD,-0.25,-0.25,-0.25,-0.25
50,POR,0.0,0.0,-0.25,0.25
51,CALO,0.6398808335136217,0.31994041675681084,0.25,0.3898808335136217
52,BTCBR,-0.7311281433293066,-0.04874187622195378,-0.25,0.9239688137147255
53,SHOO,0.1620864941778335,0.040521623544458374,-0.25,0.4120864941778335
54,REALLIQ,-0.5,-0.25,-0.25,-0.25
55,ICEBERG,-0.75,-0.25,-0.25,-0.25
56,BSTV2,1.2994554642709364,0.3248638660677341,0.25,0.5352679369745561
57,TMDS,1.8104470057408997,0.07871508720612608,-0.25,0.3191434474694753
58,MBR,1.413453194503914,0.15705035494487932,-0.25,0.5938391742361524
59,CAKEBAKER,0.6332595196326789,0.15831487990816973,-0.25,0.8832595196326789
60,DRV,-0.25,-0.25,-0.25,-0.25
61,YETI COIN,5.667923538634834,0.21799705917826284,-0.25,1.9411186678127872
62,BET,2.2926486880629278,0.14329054300393299,-0.25,0.7027129807667967
63,GOD,2.1605644183012984,0.18004703485844153,-0.25,0.6497696004016296
64,SAFE,1.4332769646546557,0.13029790587769596,-0.25,0.8176747325275979
65,KARA,0.6302294422310695,0.15755736055776737,-0.25,0.8802294422310695
66,FPUMP,-0.25,-0.08333333333333333,-0.25,0.25
67,DIQ,1.006812961317883,0.5034064806589414,0.25,0.7568129613178829
68,METAFLIP,90.98600246351828,4.332666783977061,-0.25,88.0206113092049
69,AVAXUP,2.5230215408104857,0.5046043081620971,-0.25,3.0230215408104857
70,XCB,0.06738339925861203,0.009626199894087433,-0.25,0.3025712484199372
71,MASTER,0.723145721340416,0.12052428689006933,-0.25,1.473145721340416
72,PLS,0.8143618711639524,0.1357269785273254,-0.25,0.49412023684435424
73,RBO,-0.25,-0.25,-0.25,-0.25
74,DUSD,3.415444582051325,0.6830889164102649,-0.25,2.717305988811966
75,MTF,3.4306074485189146,0.8576518621297287,0.25,2.543235406815085
76,SANTAWAR,0.543119231674452,0.07758846166777886,-0.25,0.48448402430922743
