,TOKEN,Sum,Average,Min,Max
77,ADEN,0.50293473811831,0.16764491270610335,0.0029347381183100207,0.25
78,DGMUSK,0.8200239665901949,0.11714628094145642,-0.25,0.4403248920910172
79,METAVEGAS,2.90167275101448,0.22320559623188307,-0.25,1.0964234711646952
80,RS,-0.75,-0.25,-0.25,-0.25
81,FPS,-0.25,-0.25,-0.25,-0.25
82,FA,0.007315756153428388,0.001828939038357097,-0.25,0.2573157561534284
83,XWAP,2.790640451751011,0.2790640451751011,-0.25,0.7705844533098682
84,FSINU,1.7415316072571472,0.1935035119174608,-0.25,0.7923844102947466
85,LSC,0.4249058364759163,0.02360587980421757,-0.25,0.47397103217104986
86,PLG,0.4031121207385395,0.10077803018463488,-0.25,0.6531121207385395
87,BYTZ,-0.40469152021437127,-0.03372429335119761,-0.25,1.0904848714463657
88,SHIBAW,7.04731280970163,0.2818925123880652,-0.25,1.8585546668764317
89,RTT,-0.25,-0.25,-0.25,-0.25
90,FLOKICOKE,0.7044318276275765,0.23481060920919217,-0.25,0.7044318276275765
91,PUFFSANTA,0.40159908997309557,0.01487404036937391,-0.25,0.9044833692863816
92,WST,3.822490658720973,0.42472118430233036,-0.25,1.631828293248105
93,RMARS,1.0993158243692611,0.18321930406154352,-0.25,0.846717728126247
94,PLT,0.2715225679366763,0.13576128396833814,0.021522567936676285,0.25
95,GLOW,1.7585063356444441,0.35170126712888883,0.25,0.5192336979689587
96,ELO INU,0.7166762119024721,0.06515238290022474,-0.25,0.5683186186611846
97,DHR,0.22833504816784267,0.032619292595406094,-0.25,0.4865574586567255
98,AURORA,7.218071996728206,0.8020079996364673,0.25,3.031344181842307
99,CGAR,1.2434084936814085,0.2486816987362817,-0.25,1.2434084936814085
100,XTRA,0.0,0.0,0.0,0.0
101,SHIBAMOON,-0.5,-0.25,-0.25,-0.25
102,HPL,-1.0,-0.25,-0.25,-0.25
103,MNEB,0.8843998136575377,0.17687996273150755,-0.25,0.5175021240618165
104,USDA,1.41747565691481,0.3543689142287025,0.25,0.6009776936474769
105,SQUIDBOUND,-0.5,-0.25,-0.25,-0.25
106,KFR,0.5172280899754715,0.1034456179950943,-0.25,0.2585561277948717
107,TRAIN,6.914151251498852,0.4938679465356323,-0.25,5.17054567236753
108,ERO,0.8798526203604745,0.10998157754505931,-0.25,1.1183678559155286
109,KUBER,4.1403423253402565,0.8280684650680513,-0.25,3.128996870653252
110,SZILLA,1.016669206917193,0.25416730172929825,0.25,0.2593041828927839
111,YOSI,1.5171196804931104,0.1896399600616388,-0.25,1.9414888893990652
112,MILLIONS,0.9825237355882084,0.16375395593136807,-0.25,0.7074544446413584
113,TREASURE,0.3004911405229943,0.042927305788999184,-0.25,0.5404742195014745
114,SUPE,-0.14684875177053047,-0.029369750354106095,-0.25,0.3531512482294695
115,ORKL,0.923881981392719,0.3079606604642397,-0.25,0.923881981392719
116,MINITESLA,0.5997134565106719,0.09995224275177865,-0.25,0.49604302541910095
117,PLUS,2.6764352521141435,0.11636675009191928,-0.417504268756543,0.961208784146812
118,EHB,0.0,0.0,-0.25,0.25
119,SPIDEYXMAS,-0.25,-0.125,-0.25,0.0
120,EPS,0.25,0.25,0.25,0.25
121,TRUTH,3.0323700732577805,0.6064740146515561,0.25,1.2615912382856331
122,SNOWFLOKI,0.05521434666750458,0.005521434666750457,-0.25,0.42805751273986803
123,INFINITYADA,0.28407014434125777,0.09469004811375259,-0.25,0.28407014434125777
124,MESA,119.24323774987405,39.74774591662469,-0.25,119.24323774987405
125,CPC,0.012986552091138304,0.004328850697046101,-0.25,0.25
126,DOGEMANIA,0.25,0.25,0.25,0.25
127,ZINAX,-0.25,-0.125,-0.25,0.0
128,BOE,-1.5,-0.25,-0.25,-0.25
129,CVIP,0.25,0.25,0.25,0.25
130,ORB,1.9851575800379604,0.28359394000542293,-0.25,0.8343584245530362
131,FARM,2.4797921297557424,0.27553245886174915,-0.25,1.0483597428683225
132,MDL,0.08966247901180435,0.022415619752951088,-0.25,0.33966247901180435
133,MSE,1.448030613262691,0.09653537421751274,-0.25,1.6586459210634295
134,PDog,-0.25,-0.25,-0.25,-0.25
135,ODN,0.37697260762618645,0.1256575358753955,-0.25,0.37697260762618645
136,EPW,13.448374871891385,6.724187435945693,0.25,13.198374871891385
137,REDPILL,0.022024564691346837,0.007341521563782279,-0.25,0.25
138,MB,0.661372886085879,0.11022881434764649,-0.25,0.911372886085879
139,XUSD,0.0,0.0,0.0,0.0
140,OCRA,1.4445455778168832,0.1805681972271104,-0.25,1.1162712237763819
141,XSH,0.963949151269466,0.12049364390868325,-0.25,0.37008464286960185
142,INSTANTXRP,1.2749637602707764,0.4249879200902588,0.25,0.7749637602707764
143,SOUL,-0.004695167789573351,-0.0007825279649288919,-0.25,0.49530483221042665
144,MAPES,1.928121879748324,0.482030469937081,0.05169358012484182,1.376428299623482
145,SOLCASH,2.252432900574969,0.750810966858323,0.25,1.752432900574969
146,SHIELD,-0.25,-0.125,-0.25,0.0
147,---PODSUMOWANIE---,456.557551049423,0.5407080673818007,-0.499345962920263,119.24323774987405
