,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,11,2022-01-31 13:20:00,1.1926345888203386e-06,43,2022-01-31 13:52:00,0.5,1.5
1,11,2022-01-31 13:20:00,1.1926345888203386e-06,96,2022-01-31 14:45:00,0.5,3.078770707951179
2,134,2022-01-31 15:23:00,2.5692921278911782e-06,182,2022-01-31 16:11:00,1.0,0.75
3,191,2022-01-31 16:20:00,1.9655976073890843e-06,676,2022-02-01 14:37:00,1.0,0.75
