,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,50,2021-12-30 13:52:00,5.495782414539101e-06,674,2021-12-31 06:22:00,0.5,1.5
1,50,2021-12-30 13:52:00,5.495782414539101e-06,971,2021-12-31 12:10:00,0.5,1.0199289892480794
