,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-18 18:07:00,1.0103662974683243,5,32.65523505128467,0.002019047619047619,0.19397515146999467,2.7984907257182567,28.437867855533245
1,2021-12-18 18:09:00,0.001,1,0.22020219067458,0.22020219067458,0.22020219067458,0.22020219067458,0.11694494286645163
2,2021-12-18 18:39:00,0.001,1,0.276373276771691,0.276373276771691,0.276373276771691,0.276373276771691,0.1467762739456274
3,2021-12-18 18:44:00,0.00096,1,0.27639517509868544,0.27639517509868544,0.27639517509868544,0.27639517509868544,0.14091638755727243
4,2021-12-18 18:53:00,8.0813198591763e-05,2,0.24810536491996907,0.24686638875389288,0.24810536491996907,0.24686638875389288,0.0106215966796875
5,2021-12-18 22:54:00,0.0009,1,0.22350095457296446,0.22350095457296446,0.22350095457296446,0.22350095457296446,0.1078680198872392
6,2021-12-18 22:55:00,0.0017,1,0.17263762122,0.17263762122,0.17263762122,0.17263762122,0.1573820432562597
7,2021-12-18 22:57:00,0.002,1,0.125052463368429,0.125052463368429,0.125052463368429,0.125052463368429,0.13411985079136315
8,2021-12-18 22:58:00,0.0023,1,0.09085825818333261,0.09085825818333261,0.09085825818333261,0.09085825818333261,0.11206320977485378
9,2021-12-18 22:59:00,0.0027,1,0.06620667725929667,0.06620667725929667,0.06620667725929667,0.06620667725929667,0.09585976748402283
10,2021-12-18 23:01:00,0.0032,1,0.04814893710483844,0.04814893710483844,0.04814893710483844,0.04814893710483844,0.0826085671454146
11,2021-12-18 23:02:00,0.0038,1,0.03489800033600079,0.03489800033600079,0.03489800033600079,0.03489800033600079,0.07110048213094795
12,2021-12-18 23:03:00,0.0045,1,0.025223437010580888,0.025223437010580888,0.025223437010580888,0.025223437010580888,0.060856249629236005
13,2021-12-18 23:06:00,0.0053,1,0.0182099209597,0.0182099209597,0.0182099209597,0.0182099209597,0.05174547011348251
14,2021-12-18 23:07:00,0.0062,1,0.013157799648466613,0.013157799648466613,0.013157799648466613,0.013157799648466613,0.04373844766132473
15,2021-12-18 23:08:00,0.0073,1,0.009514700638054246,0.009514700638054246,0.009514700638054246,0.009514700638054246,0.03723971900171077
16,2021-12-18 23:09:00,0.0186,2,0.006877552979369767,0.0049789148056927,0.006877552979369767,0.0049789148056927,0.05840637390248911
17,2021-12-18 23:11:00,0.024,2,0.003645030283813273,0.0026879277994805383,0.003645030283813273,0.0026879277994805383,0.040232029410478404
18,2021-12-18 23:12:00,0.016,1,0.00196226237305725,0.00196226237305725,0.00196226237305725,0.00196226237305725,0.016833152790960697
