,TOKEN,Summary return
128,BOE,-1.5
31,MGOD,-1.0
102,HPL,-1.0
39,HP,-0.75
55,ICEBERG,-0.75
80,RS,-0.75
52,BTCBR,-0.7311281433293066
101,SHIBAMOON,-0.5
9,MM,-0.5
15,MNTTBSC,-0.5
105,SQUIDBOUND,-0.5
54,REALLIQ,-0.5
87,BYTZ,-0.40469152021437127
12,XL,-0.30146082652258066
119,SPIDEYXMAS,-0.25
134,PDog,-0.25
41,DRUN,-0.25
45,MTK,-0.25
47,APEBUSD,-0.25
48,BREWLABS,-0.25
60,DRV,-0.25
127,ZINAX,-0.25
66,FPUMP,-0.25
33,RMOG,-0.25
81,FPS,-0.25
89,RTT,-0.25
49,GLD,-0.25
73,RBO,-0.25
146,SHIELD,-0.25
5,INCOME,-0.25
4,FTD,-0.25
21,APX,-0.25
10,SUPERPIXEL,-0.1617971464959881
114,SUPE,-0.14684875177053047
143,SOUL,-0.004695167789573351
50,POR,0.0
118,EHB,0.0
139,XUSD,0.0
100,XTRA,0.0
82,FA,0.007315756153428388
34,MOR,0.010615603179692124
125,CPC,0.012986552091138304
26,CA,0.016857582354237954
137,REDPILL,0.022024564691346837
122,SNOWFLOKI,0.05521434666750458
70,XCB,0.06738339925861203
132,MDL,0.08966247901180435
2,IQG,0.12976636541027298
53,SHOO,0.1620864941778335
97,DHR,0.22833504816784267
120,EPS,0.25
126,DOGEMANIA,0.25
25,MPC,0.25
38,GTR,0.25
129,CVIP,0.25
22,SCP,0.25
16,SNT,0.25
7,LZP,0.2500458258391808
29,SHG,0.26401513925154363
42,MRFLOKI,0.2696196169318683
94,PLT,0.2715225679366763
123,INFINITYADA,0.28407014434125777
24,SOE,0.2962721582137743
113,TREASURE,0.3004911405229943
43,WIZZY,0.3685461484500515
6,PRED,0.37138080866258305
135,ODN,0.37697260762618645
91,PUFFSANTA,0.40159908997309557
86,PLG,0.4031121207385395
85,LSC,0.4249058364759163
23,MEB,0.4605904867072086
77,ADEN,0.50293473811831
106,KFR,0.5172280899754715
76,SANTAWAR,0.543119231674452
116,MINITESLA,0.5997134565106719
65,KARA,0.6302294422310695
59,CAKEBAKER,0.6332595196326789
51,CALO,0.6398808335136217
3,MATATA,0.6503331209096166
138,MB,0.661372886085879
90,FLOKICOKE,0.7044318276275765
96,ELO INU,0.7166762119024721
71,MASTER,0.723145721340416
72,PLS,0.8143618711639524
78,DGMUSK,0.8200239665901949
108,ERO,0.8798526203604745
103,MNEB,0.8843998136575377
44,XXP,0.9138781357516503
115,ORKL,0.923881981392719
27,HKSM,0.93550391910949
141,XSH,0.963949151269466
112,MILLIONS,0.9825237355882084
67,DIQ,1.006812961317883
110,SZILLA,1.016669206917193
20,IGO,1.0490436456904328
13,$CMF,1.0950586547036125
93,RMARS,1.0993158243692611
19,CAKESWAP,1.2129734708735254
99,CGAR,1.2434084936814085
142,INSTANTXRP,1.2749637602707764
56,BSTV2,1.2994554642709364
0,EFT,1.3768435536131527
32,FLPD,1.412550380647759
58,MBR,1.413453194503914
104,USDA,1.41747565691481
64,SAFE,1.4332769646546557
140,OCRA,1.4445455778168832
133,MSE,1.448030613262691
111,YOSI,1.5171196804931104
36,SHIBOSHI,1.5736596390425786
30,G9,1.665378734468188
84,FSINU,1.7415316072571472
95,GLOW,1.7585063356444441
57,TMDS,1.8104470057408997
144,MAPES,1.928121879748324
130,ORB,1.9851575800379604
63,GOD,2.1605644183012984
145,SOLCASH,2.252432900574969
62,BET,2.2926486880629278
131,FARM,2.4797921297557424
69,AVAXUP,2.5230215408104857
117,PLUS,2.6764352521141435
83,XWAP,2.790640451751011
79,METAVEGAS,2.90167275101448
121,TRUTH,3.0323700732577805
74,DUSD,3.415444582051325
75,MTF,3.4306074485189146
14,CP,3.7268631851048397
28,MNFT,3.8031333286450604
92,WST,3.822490658720973
109,KUBER,4.1403423253402565
17,HUH,4.835096793622018
37,CHIKUINU,4.884178725880865
46,SQC,5.41387844994063
61,YETI COIN,5.667923538634834
11,NPTUN,6.037175504600845
40,DPK,6.501356405517241
107,TRAIN,6.914151251498852
88,SHIBAW,7.04731280970163
98,AURORA,7.218071996728206
35,DOGEALLY,8.744757159423227
136,EPW,13.448374871891385
8,PET,15.10077439669119
1,BCI,25.663753435178258
18,TSY,40.74377527563753
68,METAFLIP,90.98600246351828
124,MESA,119.24323774987405
